16 14
10 10
1 18 9
1 1 3
items.Llave 6 5
enviroment.Rock 2 2
enviroment.Rock 2 3
enviroment.Rock 2 4
enviroment.Rock 2 5
enviroment.Rock 2 6
enviroment.Rock 2 7
enviroment.Rock 4 2
enviroment.Rock 4 3
enviroment.Rock 5 3
enviroment.Rock 4 5
enviroment.Rock 5 5
enviroment.Rock 6 6
enviroment.Rock 6 8
enviroment.Rock 7 9
enviroment.Rock 8 9
enviroment.MovableRock 2 1
enviroment.MovableRock 3 4
enviroment.MovableRock 7 5
Pozo 1 7
Pozo 6 4
Trampa 7 1
Trampa 7 7
Trampa 5 9
Trampa 9 9
Trampa 10 9
Medusa 8 5
MovingThing 11 1
